Geo,Policy,PolStart,PolEnd,SourceStart,SourceEnd
US - New Jersey,6,21-Mar-20,18-Apr-20,https://nj.gov/governor/news/news/562020/approved/20200320j.shtml,https://www.usatoday.com/story/news/health/2020/04/19/coronavirus-lockdown-reopening-states-us-texas-florida/5155269002/
US - New Jersey,7,21-Mar-20,,,
US - New Jersey,8,21-Mar-20,,https://nj.gov/infobank/eo/056murphy/pdf/EO-107.pdf,
US - New York,1,12-Mar-20,,https://www.recordonline.com/news/20200313/schools-closed-in-orange-ulster-counties-for-2-weeks-due-to-coronavirus,
US - New York,3,13-Mar-20,,https://www.pbs.org/newshour/show/new-york-launches-drive-thru-testing-site-for-covid-19,
US - New York,4,08-Mar-20,,https://www.pix11.com/news/coronavirus/schools-closing-in-ny-nj-amid-spread-of-covid-19,
US - New York,5,12-Mar-20,,https://www.theverge.com/2020/3/12/21177162/new-york-coronavirus-ban-public-gathering-broadway-concerts-museums,
US - New York,7,20-Mar-20,,,
US - New York,8,20-Mar-20,,https://www.npr.org/sections/coronavirus-live-updates/2020/03/20/818952589/coronavirus-n-y-gov-cuomo-says-100-of-workforce-must-stay-home,
US - Pennsylvania,1,23-Mar-20,,,
US - Pennsylvania,2,15-Mar-20,,https://6abc.com/health/pennsylvania-announces-16-new-confirmed-covid-19-cases/6015347/,
US - Pennsylvania,4,13-Mar-20,,https://www.mcall.com/coronavirus/mc-nws-pa-schools-closed-20200313-ul7f23rzybes3oxe37lttpqvya-story.html,
US - Pennsylvania,5,16-Mar-20,,https://twitter.com/MikeDonofrio_/status/1239599494624423943,
US - Pennsylvania,7,23-Mar-20,,,
US - Pennsylvania,8,23-Mar-20,,https://www.nbcphiladelphia.com/news/coronavirus/philly-issues-stay-at-home-order-to-stop-coronavirus-spread/2336619/,
US - Texas,1,06-Mar-20,,https://www.theverge.com/2020/3/6/21162247/sxsw-2020-cancelled-coronavirus-austin-texas-virus-fears-public-health-event,
US - Texas,3,13-Mar-20,,https://www.texastribune.org/2020/03/13/texas-coronavirus-cases-state-emergency-greg-abbott/,
US - Texas,4,19-Mar-20,,https://www.texastribune.org/2020/03/19/texas-restaurants-bars-closed-greg-abbott/,
US - Texas,5,23-Mar-20,,https://www.dallasnews.com/news/public-health/2020/03/22/dallas-county-residents-ordered-to-stay-home-as-new-shelter-in-place-rules-are-put-in-place/,
US - Texas,6,04-Apr-20,20-Apr-20,https://www.click2houston.com/news/local/2020/04/04/big-bend-national-park-closes-in-response-to-covid-19-concerns/,
US - Texas,7,23-Mar-20,,,
US - Texas,8,23-Mar-20,,https://www.dallasnews.com/news/public-health/2020/03/22/dallas-county-residents-ordered-to-stay-home-as-new-shelter-in-place-rules-are-put-in-place/,
US - Washington,1,11-Mar-20,,https://www.kuow.org/stories/large-events-banned-in-seattle-area-amid-efforts-to-slow-covid-19-spread,
US - Washington,2,19-Mar-20,,https://www.seattletimes.com/seattle-news/transportation/sound-transit-to-reduce-rail-bus-service-due-to-coronavirus-outbreak/,
US - Washington,3,03-Mar-20,,https://en.wikipedia.org/wiki/White_Center_COVID-19_quarantine_site,
US - Washington,4,06-Mar-20,,https://www.washington.edu/coronavirus/2020/03/06/beginning-march-9-classes-and-finals-will-not-be-held-in-person-message-to-students/,
US - Washington,5,15-Mar-20,,https://apnews.com/b8cff05b257bb2ad621a2c844c30b95a,
US - Washington,6,12-Mar-20,,https://www.seattletimes.com/seattle-news/seattle-closing-all-public-libraries-community-centers-parks-programs-in-bid-to-slow-coronavirus/,
US - Washington,7,23-Mar-20,,,
US - Washington,8,23-Mar-20,,https://www.documentcloud.org/documents/6817957-20-25-Coronovirus-Stay-Safe-Stay-Healthy.html,
China - Hubei,1,23-Jan-20,,,
China - Hubei,2,23-Jan-20,23-Mar-20,,http://www.rfi.fr/en/international/20200330-covid-19-epicentre-wuhan-begins-to-reopen-after-2-months-under-lockdown-china-coronavirus-outbreak
China - Hubei,3,26-Jan-20,,http://www.bjnews.com.cn/finance/2020/01/27/680390.html,
China - Hubei,4,23-Jan-20,,,
China - Hubei,5,23-Jan-20,23-Mar-20,,http://www.rfi.fr/en/international/20200330-covid-19-epicentre-wuhan-begins-to-reopen-after-2-months-under-lockdown-china-coronavirus-outbreak
China - Hubei,6,23-Jan-20,,,
China - Hubei,7,23-Jan-20,,,
China - Hubei,8,23-Jan-20,23-Mar-20,,http://www.rfi.fr/en/international/20200330-covid-19-epicentre-wuhan-begins-to-reopen-after-2-months-under-lockdown-china-coronavirus-outbreak
China - Hubei,9,23-Jan-20,23-Mar-20,https://www.bbc.com/zhongwen/simp/chinese-news-51232433,http://www.rfi.fr/en/international/20200330-covid-19-epicentre-wuhan-begins-to-reopen-after-2-months-under-lockdown-china-coronavirus-outbreak
China - Other mainland,1,24-Jan-20,,https://m.yicai.com/news/100480404.html,
China - Other mainland,2,24-Jan-20,,http://www.bjnews.com.cn/feature/2020/01/25/679116.html,
China - Other mainland,3,24-Jan-20,,https://m.yicai.com/news/100480404.html,
China - Other mainland,4,04-Feb-20,27-Apr-20,,http://www.xinhuanet.com/english/2020-04/09/c_138961876.htm
China - Other mainland,5,04-Feb-20,09-Mar-20,,https://www.usatoday.com/story/travel/destinations/2020/03/09/coronavirus-shanghai-disney-resort-partially-reopens/4998586002/
China - Other mainland,6,04-Feb-20,18-Mar-20,,https://www.telegraph.co.uk/travel/news/china-reopening-tourism-coronavirus/
China - Other mainland,7,24-Jan-20,,http://www.bjnews.com.cn/feature/2020/01/25/679116.html,
China - Other mainland,8,04-Feb-20,,http://www.rfi.fr/cn/20200210-%E5%8D%83%E4%B8%87%E4%BA%BA%E8%BF%94%E5%B7%A5-%E5%BD%A2%E5%8A%BF%E4%B8%A5%E5%B3%BB%E5%8C%97%E4%BA%AC%E4%B8%8A%E6%B5%B7%E8%BF%9B%E5%85%A5%E5%8D%8A%E5%B0%81%E5%9F%8E%E7%8A%B6%E6%80%81,
China - Other mainland,9,10-Feb-20,,http://www.rfi.fr/cn/20200210-%E5%8D%83%E4%B8%87%E4%BA%BA%E8%BF%94%E5%B7%A5-%E5%BD%A2%E5%8A%BF%E4%B8%A5%E5%B3%BB%E5%8C%97%E4%BA%AC%E4%B8%8A%E6%B5%B7%E8%BF%9B%E5%85%A5%E5%8D%8A%E5%B0%81%E5%9F%8E%E7%8A%B6%E6%80%81,
